# LE and TE corner points, one spanwise station per row
# frame   : origin at the root leading edge; +X LE->TE, +Y root->tip, +Z thickness
# point 1 : leading edge      point 2 : trailing edge
# rows    : 50, root first, y = 0.000000 up to y = 80.000000 mm
#           y1 and y2 are the same station height; chord = x2 - x1
# load    : np.loadtxt(path)  -> (50, 6), LE = [:, :3], TE = [:, 3:]
#               x1               y1               z1                 x2               y2               z2
       0.000000000      0.000000000      0.000000000      180.287613169      0.000000000      0.000000000
       0.114285714      1.632653061     -0.000000177      180.055848726      1.632653061      0.000000198
       0.228571429      3.265306122     -0.000000188      179.824084283      3.265306122      0.000000195
       0.342857143      4.897959184     -0.000000189      179.592319840      4.897959184      0.000000191
       0.457142857      6.530612245     -0.000000195      179.360555397      6.530612245      0.000000188
       0.571428571      8.163265306     -0.000000194      179.128790955      8.163265306      0.000000185
       0.685714286      9.795918367     -0.000000200      178.897026512      9.795918367      0.000000182
       0.800000000     11.428571429     -0.000000176      178.665262069     11.428571429      0.000000179
       0.914285714     13.061224490     -0.000000193      178.433497626     13.061224490      0.000000176
       1.028571429     14.693877551     -0.000000191      178.201733183     14.693877551      0.000000173
       1.142857143     16.326530612     -0.000000201      177.969968740     16.326530612      0.000000170
       1.257142857     17.959183673     -0.000000209      177.738204297     17.959183673      0.000000167
       1.371428571     19.591836735     -0.000000216      177.506439854     19.591836735      0.000000165
       1.485714286     21.224489796     -0.000000194      177.274675411     21.224489796      0.000000163
       1.600000000     22.857142857     -0.000000206      177.042910968     22.857142857      0.000000160
       1.714285714     24.489795918     -0.000000215      176.811146525     24.489795918      0.000000158
       1.828571429     26.122448980     -0.000000196      176.579382082     26.122448980      0.000000156
       1.942857143     27.755102041     -0.000000209      176.347617639     27.755102041      0.000000155
       2.057142857     29.387755102     -0.000000207      176.115853197     29.387755102      0.000000153
       2.171428571     31.020408163     -0.000000184      175.884088754     31.020408163      0.000000151
       2.285714286     32.653061224     -0.000000227      175.652324311     32.653061224      0.000000150
       2.400000000     34.285714286     -0.000000217      175.420559868     34.285714286      0.000000149
       2.514285714     35.918367347     -0.000000204      175.188795425     35.918367347      0.000000148
       2.628571429     37.551020408     -0.000000187      174.957030982     37.551020408      0.000000147
       2.742857143     39.183673469     -0.000000229      174.725266539     39.183673469      0.000000147
       2.857142857     40.816326531     -0.000000221      174.493502096     40.816326531      0.000000146
       2.971428571     42.448979592     -0.000000213      174.261737653     42.448979592      0.000000146
       3.085714286     44.081632653     -0.000000203      174.029973210     44.081632653      0.000000146
       3.200000000     45.714285714     -0.000000193      173.798208767     45.714285714      0.000000146
       3.314285714     47.346938776     -0.000000232      173.566444324     47.346938776      0.000000146
       3.428571429     48.979591837     -0.000000227      173.334679881     48.979591837      0.000000147
       3.542857143     50.612244898     -0.000000222      173.102915438     50.612244898      0.000000147
       3.657142857     52.244897959     -0.000000218      172.871150996     52.244897959      0.000000148
       3.771428571     53.877551020     -0.000000214      172.639386553     53.877551020      0.000000149
       3.885714286     55.510204082     -0.000000210      172.407622110     55.510204082      0.000000151
       4.000000000     57.142857143     -0.000000207      172.175857667     57.142857143      0.000000152
       4.114285714     58.775510204     -0.000000224      171.944093224     58.775510204      0.000000257
       4.228571429     60.408163265     -0.000000223      171.712328781     60.408163265      0.000000258
       4.342857143     62.040816327     -0.000000222      171.480564338     62.040816327      0.000000259
       4.457142857     63.673469388     -0.000000221      171.248799895     63.673469388      0.000000261
       4.571428571     65.306122449     -0.000000221      171.017035452     65.306122449      0.000000262
       4.685714286     66.938775510     -0.000000221      170.785271009     66.938775510      0.000000263
       4.800000000     68.571428571     -0.000000222      170.553506566     68.571428571      0.000000265
       4.914285714     70.204081633     -0.000000223      170.321742123     70.204081633      0.000000266
       5.028571429     71.836734694     -0.000000225      170.089977680     71.836734694      0.000000268
       5.142857143     73.469387755     -0.000000227      169.858213237     73.469387755      0.000000270
       5.257142857     75.102040816     -0.000000229      169.626448795     75.102040816      0.000000177
       5.371428571     76.734693878     -0.000000232      169.394684352     76.734693878      0.000000180
       5.485714286     78.367346939     -0.000000235      169.162919909     78.367346939      0.000000183
       5.600000000     80.000000000     -0.000000238      168.931155466     80.000000000      0.000000186
