# airfoil frame, millimetres, Selig order (TE -> upper -> LE -> lower -> TE)
# section at y = 80.000000 mm; x = 0 at this section's LE and grows aft, y = thickness (+Z side up)
#               x_mm               y_mm
       163.331155466        0.000000186
       163.290040309        0.244912026
       163.166736237        0.468609531
       162.961367407        0.646481559
       162.674140608        0.745460356
       162.305345053        0.813082948
       161.855352087        0.895335544
       161.324614817        0.992000163
       160.713667648        1.102809187
       160.023125754        1.227464480
       159.253684450        1.365613876
       158.406118501        1.516903772
       157.481281331        1.680924808
       156.480104175        1.857258837
       155.403595132        2.045443772
       154.252838157        2.245015691
       153.028991963        2.455465494
       151.733288860        2.676287537
       150.367033511        2.906942053
       148.931601620        3.146891454
       147.428438545        3.395578070
       145.859057844        3.652423412
       144.225039749        3.916859300
       142.528029579        4.188294089
       140.769736080        4.466142419
       138.951929702        4.749790215
       137.076440825        5.038646392
       135.145157905        5.332099976
       133.160025581        5.629525971
       131.123042714        5.930317045
       129.036260371        6.233843995
       126.901779766        6.539477482
       124.721750141        6.846580172
       122.498366599        7.154507536
       120.233867901        7.462605858
       117.930534203        7.770220290
       115.590684769        8.076680796
       113.216675627        8.381297683
       110.810897204        8.683398885
       108.375771915        8.982260725
       105.913751725        9.277184274
       103.427315679        9.567439513
       100.918967407        9.852286056
        98.391232604       10.130973237
        95.846656484       10.402740178
        93.287801220       10.666816056
        90.717243363       10.922407057
        88.137571245       11.168729519
        85.551382378       11.404995031
        82.961280836       11.630383383
        80.369874630       11.844105601
        77.779773087       12.045366234
        75.193584221       12.233341752
        72.613912103       12.407270313
        70.043354245       12.566372919
        67.484498981       12.709871482
        64.939922862       12.837033078
        62.412188059       12.947145959
        59.903839787       13.039521831
        57.417403741       13.113509098
        54.955383551       13.168473382
        52.520258262       13.203849553
        50.114479839       13.219125652
        47.740470697       13.213798473
        45.400621263       13.187445489
        43.097287565       13.139713583
        40.832788866       13.070301465
        38.609405325       12.978914761
        36.429375699       12.865453967
        34.294895095       12.729721564
        32.208112752       12.571732344
        30.171129884       12.391493529
        28.185997561       12.189062152
        26.254714641       11.964650011
        24.379225763       11.718455237
        22.561419386       11.450763841
        20.803125886       11.161960917
        19.106115717       10.852396196
        17.472097622       10.522564637
        15.902716920       10.172891662
        14.399553845        9.804113626
        12.964121954        9.416635563
        11.597866606        9.011194646
        10.302163503        8.588317538
         9.078317309        8.148835152
         7.927560333        7.693360867
         6.851051291        7.222748277
         5.849874134        6.737241501
         4.925036965        6.237956438
         4.077471015        5.725655743
         3.308029712        5.200257167
         2.617487818        4.663217182
         2.006540649        4.114633956
         1.475803378        3.555429593
         1.025810413        2.985706846
         0.657014858        2.407465279
         0.369788059        1.817803484
         0.164419229        1.219287566
         0.041115157        0.612205681
         0.000000000       -0.000000238
         0.040297033       -0.605056134
         0.161148363       -1.206444265
         0.362434725       -1.799263483
         0.643957473       -2.383375822
         1.005438778       -2.957516278
         1.446521902       -3.521312991
         1.966771550       -4.076199456
         2.565674297       -4.620260129
         3.242639099       -5.152714848
         3.996997873       -5.673443044
         4.828006158       -6.182394012
         5.734843850       -6.678268652
         6.716616009       -7.160371673
         7.772353745       -7.628390856
         8.901015171       -8.081510636
        10.101486436       -8.519100874
        11.372582819       -8.940546391
        12.713049901       -9.344913733
        14.121564803       -9.731842107
        15.596737492      -10.100665564
        17.137112149      -10.450712581
        18.741168611      -10.781544948
        20.407323868      -11.092567807
        22.133933625      -11.383356959
        23.919293928      -11.653557373
        25.761642842      -11.902761779
        27.659162190      -12.130657992
        29.609979349      -12.337025168
        31.612169100      -12.521766960
        33.663755522      -12.684662074
        35.762713947      -12.825746603
        37.906972956      -12.945036182
        40.094416426      -13.042564246
        42.322885612      -13.118569136
        44.590181286      -13.173195642
        46.894065901      -13.206753817
        49.232265799      -13.219584743
        51.602473460      -13.212052499
        54.002349776      -13.184627401
        56.429526358      -13.137805813
        58.881607876      -13.072119965
        61.356174421      -12.988141919
        63.850783896      -12.886509647
        66.362974421      -12.767872803
        68.890266768      -12.632913911
        71.430166805      -12.482342834
        73.980167956      -12.316891035
        76.537753679      -12.137302601
        79.100399946      -11.944327892
        81.665577733      -11.738751951
        84.230755520      -11.521350458
        86.793401786      -11.292899050
        89.350987509      -11.054163538
        91.900988661      -10.805934375
        94.440888698      -10.548980862
        96.968181045      -10.284065429
        99.480371570      -10.011942491
       101.974981044       -9.733357551
       104.449547590       -9.449046434
       106.901629108       -9.159735245
       109.328805690       -8.866135886
       111.728682006       -8.568938974
       114.098889667       -8.268847134
       116.437089565       -7.966532188
       118.740974179       -7.662654408
       121.008269853       -7.357876969
       123.236739040       -7.052838070
       125.424182510       -6.748186910
       127.568441519       -6.444543425
       129.667399944       -6.142536113
       131.718986366       -5.842778033
       133.721176116       -5.545883489
       135.671993276       -5.252445668
       137.569512624       -4.963075980
       139.411861537       -4.678364526
       141.197221840       -4.398906410
       142.923831598       -4.125275046
       144.589986855       -3.858061571
       146.194043317       -3.597838824
       147.734417974       -3.345166909
       149.209590663       -3.100612764
       150.618105565       -2.864720999
       151.958572647       -2.638041225
       153.229669030       -2.421083392
       154.430140294       -2.214374670
       155.558801721       -2.018401093
       156.614539456       -1.833652220
       157.596311615       -1.660584461
       158.503149307       -1.499628208
       159.334157593       -1.351199871
       160.088516367       -1.215682849
       160.765481169       -1.093429924
       161.364383916       -0.984768336
       161.884633563       -0.889994620
       162.325716688       -0.809350142
       162.687197993       -0.743064113
       162.968720741       -0.642100391
       163.170007103       -0.464492757
       163.290858433       -0.242530864
       163.331155466        0.000000186
