# airfoil frame, millimetres, Selig order (TE -> upper -> LE -> lower -> TE)
# section at y = 0.000000 mm; x = 0 at this section's LE and grows aft, y = thickness (+Z side up)
#               x_mm               y_mm
       180.287613169        0.000000000
       180.242229583        0.256934758
       180.106124523        0.489177429
       179.879435033        0.667575757
       179.562389373        0.758033418
       179.155306780        0.832844297
       178.658597151        0.923845850
       178.072760630        1.030797321
       177.398387107        1.153386206
       176.636155617        1.291279586
       175.786833664        1.444120798
       174.851276442        1.611480782
       173.830425978        1.792923985
       172.725310182        1.987982588
       171.537041812        2.196151935
       170.266817354        2.416906569
       168.915915815        2.649694347
       167.485697440        2.893939607
       165.977602337        3.149069014
       164.393149029        3.414462552
       162.733932928        3.689511130
       161.001624722        3.973580486
       159.197968700        4.266036036
       157.324780991        4.566229854
       155.383947734        4.873502984
       153.377423186        5.187197354
       151.307227746        5.506638859
       149.175445925        5.831150959
       146.984224248        6.160068501
       144.735769088        6.492695419
       142.432344449        6.828349463
       140.076269685        7.166335820
       137.669917163        7.505939034
       135.215709877        7.846466696
       132.716119004        8.187188888
       130.173661422        8.527378368
       127.590897169        8.866294011
       124.970426870        9.203193924
       122.314889116        9.537316281
       119.626957810        9.867882358
       116.909339469       10.194101832
       114.164770506       10.515179871
       111.396014468       10.830299968
       108.605859258       11.138634114
       105.797114326       11.439342900
       102.972607840       11.731568761
       100.135183839       12.014443832
        97.287699367       12.287108489
        94.433021602       12.548679777
        91.574024960       12.798257748
        88.713588209       13.034979913
        85.854591568       13.257944975
        82.999913802       13.466273658
        80.152429331       13.659109311
        77.315005329       13.835581774
        74.490498843       13.994841664
        71.681753911       14.136085015
        68.891598701       14.258517170
        66.122842663       14.361376814
        63.378273700       14.443943017
        60.660655359       14.505533995
        57.972724053       14.545484233
        55.317186299       14.563267681
        52.696716000       14.558284436
        50.113951747       14.530110062
        47.571494165       14.478330852
        45.071903292       14.402612253
        42.617696006       14.302652816
        40.211343484       14.178290345
        37.855268720       14.029356699
        35.551844082       13.855840854
        33.303388922       13.657778185
        31.112167244       13.435172008
        28.980385423       13.188314453
        26.910189983       12.917392979
        24.903665435       12.622721572
        22.962832179       12.304760158
        21.089644469       11.963821077
        19.285988447       11.600524407
        17.553680241       11.215344677
        15.894464140       10.809007352
        14.310010832       10.382047991
        12.801915729        9.935287999
        11.371697354        9.469201602
        10.020795816        8.984815720
         8.750571357        8.482749525
         7.562302987        7.963939406
         6.457187191        7.428737884
         5.436336727        6.878294962
         4.500779505        6.313448004
         3.651457552        5.734223254
         2.889226062        5.142116757
         2.214852539        4.537232111
         1.629016019        3.920567912
         1.132306390        3.292447307
         0.725223796        2.654858456
         0.408178136        2.004456099
         0.181488647        1.344463696
         0.045383586        0.675064192
         0.000000000        0.000000000
         0.044480527       -0.667184576
         0.177878211       -1.330326629
         0.400061404       -1.984036519
         0.710810840       -2.628115558
         1.109819844       -3.261401116
         1.596694644       -3.882992659
         2.170954754       -4.494901258
         2.832033447       -5.094652951
         3.579278319       -5.681853201
         4.411951929       -6.255933842
         5.329232529       -6.817093069
         6.330214874       -7.363728859
         7.413911115       -7.895232856
         8.579251775       -8.411117784
         9.825086803       -8.910601161
        11.150186710       -9.392913729
        12.553243783       -9.857380342
        14.032873374      -10.303024683
        15.587615267      -10.729391948
        17.215935120      -11.135749845
        18.916225977      -11.521401144
        20.686809857      -11.885817256
        22.525939407      -12.228343539
        24.431799628      -12.548513614
        26.402509667      -12.845970929
        28.436124670      -13.120198214
        30.530637705      -13.370947534
        32.683981740      -13.597886673
        34.894031686      -13.800936167
        37.158606489      -13.979883637
        39.475471287      -14.134740788
        41.842339615      -14.265531915
        44.256875660      -14.372305887
        46.716696565      -14.455303881
        49.219374785      -14.514695862
        51.762440478      -14.550837280
        54.343383946      -14.564094501
        56.959658108      -14.554892748
        59.608681019      -14.523710035
        62.287838412      -14.471137887
        64.994486283      -14.397725328
        67.725953496      -14.304144645
        70.479544424      -14.191081919
        73.252541605      -14.059255766
        76.042208425      -13.909421152
        78.845791820      -13.742362790
        81.660524991      -13.558889228
        84.483630137      -13.359827527
        87.312321194      -13.146008062
        90.143806585      -12.918281028
        92.975291976      -12.677514233
        95.803983032      -12.424566458
        98.627088178      -12.160289873
       101.441821350      -11.885536393
       104.245404744      -11.601166685
       107.035071564      -11.308022111
       109.808068745      -11.006935061
       112.561659673      -10.698727934
       115.293126886      -10.384212485
       117.999774757      -10.064189530
       120.678932150       -9.739432379
       123.327955061       -9.410726697
       125.944229223       -9.078823534
       128.525172691       -8.744476970
       131.068238384       -8.408416034
       133.570916604       -8.071362547
       136.030737510       -7.734032563
       138.445273554       -7.397135913
       140.812141882       -7.061350917
       143.129006681       -6.727376746
       145.393581483       -6.395892312
       147.603631429       -6.067568342
       149.756975464       -5.743070067
       151.851488499       -5.423062498
       153.885103503       -5.108205341
       155.855813541       -4.799148164
       157.761673762       -4.496536207
       159.600803312       -4.201011596
       161.371387192       -3.913212244
       163.071678049       -3.633755912
       164.699997902       -3.363271733
       166.254739795       -3.102366814
       167.734369386       -2.851634542
       169.137426459       -2.611662526
       170.462526367       -2.383010895
       171.708361395       -2.166242295
       172.873702054       -1.961874898
       173.957398295       -1.770428209
       174.958380640       -1.592369621
       175.875661241       -1.428170232
       176.708334851       -1.278257626
       177.455579722       -1.143005535
       178.116658415       -1.022794141
       178.690918525       -0.917934511
       179.177793325       -0.828719076
       179.576802330       -0.755381185
       179.887551765       -0.663357038
       180.109734958       -0.484949724
       180.243132642       -0.254444633
       180.287613169        0.000000000
