# Rudder cross-sectional airfoil coordinates
# source        : Wind_Tunnel_Rudder.stp
# frame         : origin at the root leading edge; +X LE->TE, +Y root->tip, +Z thickness
# n_sections    : 200
# n_points      : 200 per section
# section order : TOP to BOTTOM, y = 200.000000 down to y = 0.000000 mm, evenly spaced
# point order   : Selig, TE -> upper -> LE -> lower -> TE
# columns       : x_mm y_mm in that section's own airfoil frame, x = 0 at its LE
#                 and growing aft, y = thickness with the +Z side positive
# 3D recovery   : X = x_le + x_mm,  Y = y_section,  Z = y_mm
# load          : np.loadtxt(path).reshape(200, 200, 2)
# top station   : y = 200.000000 mm, the top of the leading edge (top of the b-rep leading-edge curve)
#                 the tip surface is inclined, so horizontal cuts above this station
#                 cut through the tip blend instead of a complete airfoil and are
#                 not included here
#
# SECTION 1 / 200   y = 200.000000   chord = 137.896469   x_le = 14.000000   x_te = 151.896469
#               x_mm               y_mm
       137.896468910        0.000000000
       137.861756397        0.225529065
       137.757653808        0.434686800
       137.584265966        0.608960891
       137.341767459        0.724125720
       137.030402462        0.783556724
       136.650484492        0.852691834
       136.202396096        0.933941789
       135.686588460        1.027080470
       135.103580958        1.131852184
       134.453960630        1.247983387
       133.738381589        1.375156857
       132.957564362        1.513043383
       132.112295165        1.661280704
       131.203425113        1.819495582
       130.231869361        1.987281673
       129.198606184        2.164229585
       128.104675990        2.349903332
       126.951180273        2.543861518
       125.739280507        2.745641609
       124.470196971        2.954772071
       123.145207526        3.170785169
       121.765646323        3.393183780
       120.332902463        3.621484612
       118.848418598        3.855176289
       117.313689477        4.093768468
       115.730260443        4.336743956
       114.099725875        4.583590285
       112.423727582        4.833793547
       110.703953152        5.086825995
       108.942134254        5.342161807
       107.140044888        5.599264911
       105.299499607        5.857604391
       103.422351683        6.116632590
       101.510491245        6.375801121
        99.565843375        6.634549221
        97.590366168        6.892312129
        95.586048762        7.148519430
        93.554909335        7.402572190
        91.498993073        7.653892552
        89.420370108        7.901871626
        87.321133438        8.145890806
        85.203396816        8.385327564
        83.069292623        8.619543983
        80.920969722        8.847897810
        78.760591291        9.069737608
        76.590332649        9.284404613
        74.412379061        9.491221963
        72.228923543        9.689518585
        70.042164650        9.878628820
        67.854304261       10.057854461
        65.667545367       10.226536915
        63.484089849       10.384003876
        61.306136262       10.529571606
        59.135877620       10.662605190
        56.975499189       10.782460921
        54.827176287       10.888511364
        52.693072095       10.980147715
        50.575335473       11.056795049
        48.476098803       11.117896269
